CPU_Zscore,Memory_Zscore,Disk_Zscore,Network_Zscore,SSD_Health_Zscore,Memory_Pressure,CPU_Efficiency,System_Saturation,SSD_Wear,Label
4.593263417929955,-1.4330550296252742,6.3232785402697385,16.83393454583906,0,348.05539999999996,0.11156250000000001,1.15268,0.0,0
5.991614585023666,-1.2589531760892025,12.674790365286674,10.406526384362582,0,808.2144,0.13975155279503104,1.4657,0.0,0
3.1457234049006804,-1.3253533305993672,4.905846829612593,-0.11598576370234465,0,279.6882,0.08868501529051988,1.10938,0.0,0
1.985125135837382,-1.1815384421069608,1.3877723044408978,-0.1255406674523631,0,129.1738,0.0696319018404908,0.9580399999999999,0.0,0
1.3268552464476457,-1.1063610579845924,0.5684937690759698,-0.13493438537504548,0,113.176,0.058769230769230775,0.90248,0.0,0
0.3181981971417627,-1.168856614796628,0.9225075482389431,-0.13480542910608315,0,141.659,0.04179566563467492,0.8539599999999999,0.0,0
0.7639939697216677,-1.093138253259437,2.0261730227677917,-0.13470865457357,0,69.41919999999999,0.04953560371517028,0.91072,0.0,0
1.2059823100208662,-1.0520065682318331,3.0808772496176506,-0.13467635632607114,0,73.1029,0.05727554179566564,0.9664400000000001,0.0,0
1.0383152757776293,-1.0798442143735494,3.1811254649684213,-0.13467635632607114,0,69.62559999999999,0.05448916408668731,0.96096,0.0,0
1.031798006805475,-1.107530063965667,3.4297185223848827,-0.13467635632607114,0,105.5232,0.05482866043613708,0.9690600000000001,0.0,0
1.1139214829980364,-1.3083785258288336,2.9350966668908423,-0.13467635632607114,0,71.02829999999999,0.05638629283489097,0.95568,0.0,0
1.3368001354298644,-1.7484344303969233,3.1806441856232435,-0.13467635632607114,0,76.68639999999999,0.06043613707165109,0.9645799999999999,0.0,0
0.5316369346423022,-1.7341971534951064,2.603042261594201,-0.13467635632607114,0,79.09119999999999,0.04641744548286605,0.90398,0.0,0
1.2546001242241946,-1.720651681003476,2.822455529038643,-0.13467635632607114,0,76.55279999999999,0.059190031152647975,0.9528399999999999,0.0,0
0.8587603416656242,-1.7757016112830712,2.9502187517825824,-0.13467635632607114,0,99.567,0.05266457680250784,0.93426,0.0,0
5.506509942436571,-1.0071297669601955,5.102844563350282,-0.12515410629123228,0,121.84479999999999,0.13333333333333333,1.3089199999999999,0.0,0
4.9224417806894385,-0.3095961284661258,6.680604652894912,-0.13461180186911054,0,238.0296,0.1274626865671642,1.3763,0.0,0
4.5030248895433225,0.35276973889664476,5.450603978156265,-0.1345472489936245,0,136.1671,0.12298507462686568,1.3489200000000001,0.0,0
3.7298009919893858,0.9456366614311881,5.623081596169755,-0.1345472489936245,0,159.216,0.11047904191616766,1.34156,0.0,0
3.3802523779587204,0.009887356024607474,7.44576291034248,-0.1342580629799675,0,506.5605,0.10540540540540541,1.3979,0.0,0
2.580863769556101,-0.09009846307297882,8.9840889423051,-0.1340970088157567,0,843.0197999999999,0.09009009009009009,1.47534,0.0,0
1.8261712054726589,-0.26086548693229294,5.329182663279043,-0.11508582472335213,0,573.0138,0.07507507507507508,1.25394,0.0,0
2.281808316932214,-0.11632914178244687,6.860121801455841,-0.1341292595920811,0,799.5581999999999,0.08498498498498498,1.4039,0.0,0
2.4091763869847207,0.028206785432459046,5.777157170632622,-0.12463979476638513,0,711.4074,0.08855421686746988,1.3787200000000002,0.0,0
2.2237787926859873,-0.10853192333334818,9.956071323645299,-0.1341292595920811,0,585.3729999999999,0.0852409638554217,1.75162,0.0,0
2.044423345951276,-0.06899557520318599,5.345610613656867,-0.1341292595920811,0,699.9342000000001,0.08217522658610271,1.4240000000000002,0.0,0
2.1889733856909537,-0.10073001384950518,5.417867218332304,-0.1341292595920811,0,875.8492,0.08580060422960725,1.4644,0.0,0
