cpu_percent,cpu_frequency_mhz,memory_percent,memory_available_mb,disk_percent,disk_read_mbps,disk_write_mbps,network_upload_mbps,network_download_mbps,process_count,label
10.2,1200.0,73.0,4261.02,3.8,0.02,0.95,0.0,0.0,301,0
12.3,1200.0,73.2,4239.98,3.8,0.0,0.66,0.0,0.0,301,0
10.7,1200.0,73.3,4225.71,3.8,2.94,1.39,0.01,0.01,301,0
8.4,1200.0,71.6,4486.04,3.8,0.05,1.28,0.0,0.0,301,0
7.9,1200.0,72.1,4407.31,3.8,0.05,0.83,0.0,0.0,301,0
10.2,1200.0,72.0,4419.09,3.8,0.66,1.46,0.0,0.0,301,0
7.1,1200.0,72.0,4417.65,3.8,0.0,1.08,0.0,0.0,301,0
8.6,1200.0,72.0,4423.47,3.8,0.0,1.29,0.0,0.0,301,0
9.0,1200.0,71.9,4435.75,3.8,0.01,1.98,0.0,0.0,301,0
9.8,1200.0,68.7,4941.63,3.8,1.84,1.34,0.0,0.0,302,0
7.2,1200.0,68.7,4952.12,3.8,0.0,0.86,0.0,0.0,302,0
7.3,1200.0,68.6,4964.44,3.8,0.03,1.74,0.0,0.0,301,0
7.8,1200.0,68.4,4990.1,3.8,0.02,1.18,0.0,0.0,300,0
8.3,1200.0,68.2,5021.56,3.8,0.01,1.23,0.0,0.0,300,0
10.0,1200.0,67.4,5151.67,3.8,0.17,1.15,0.0,0.0,300,0
7.9,1200.0,67.0,5216.89,3.8,0.02,1.54,0.0,0.0,300,0
6.9,1200.0,67.0,5212.65,3.8,0.0,1.14,0.0,0.0,300,0
9.3,1200.0,67.0,5210.19,3.8,0.05,1.63,0.0,0.0,300,0
8.4,1200.0,67.1,5204.62,3.8,0.16,1.49,0.0,0.0,300,0
7.3,1200.0,67.0,5219.43,3.8,0.0,1.33,0.0,0.0,300,0
8.7,1200.0,67.0,5214.08,3.8,0.02,1.19,0.0,0.0,300,0
7.5,1200.0,67.1,5200.39,3.8,0.35,1.08,0.0,0.01,300,0
7.4,1200.0,67.1,5205.68,3.8,0.01,1.09,0.0,0.0,300,0
7.6,1200.0,67.0,5211.64,3.8,0.01,1.26,0.0,0.0,300,0
